"overlap","area_a_gaps","area_b_gaps","area_change","CHM1_mean","CHM2_mean","gap_volume_a_gaps","gap_volume_b_gaps","gap_volume_change","height_growth","Plot_id"
"Recovered gap",1993.5,0,-1993.5,3.76085518558792,10.7398155811347,7497.26481246952,0,-7497.26481246952,6.97896039554676,117
"Intact canopy",0,0,0,31.6056615160716,34.0448913278435,0,0,0,2.43922981177186,112
"New gap",0,672.75,672.75,20.5496921206176,5.81517347479699,0,3912.15795516967,3912.15795516967,-14.7345186458206,112
"Persistent gap",917.25,917.25,0,5.95751327219371,6.02297771929008,5464.52904891968,5524.57631301883,60.0472640991447,0.0654644470963692,112
"Recovered gap",559.75,0,-559.75,6.25988828140266,21.918329236336,3503.97246551514,0,-3503.97246551514,15.6584409549333,112
"Intact canopy",0,0,0,29.8949790908494,31.5300075385797,0,0,0,1.63502844773025,122
"New gap",0,712.75,712.75,19.5294972195286,5.91273421465158,0,4214.30131149291,4214.30131149291,-13.616763004877,122
"Persistent gap",953.5,953.5,0,5.53620919046066,5.8786450662598,5278.77546310424,5605.28807067872,326.512607574481,0.342435875799141,122
"Recovered gap",562.75,0,-562.75,6.08006807223048,19.6496812641647,3421.5583076477,0,-3421.5583076477,13.5696131919343,122
"Intact canopy",0,0,0,29.6065659839828,32.1185289009783,0,0,0,2.51196291699549,116
"New gap",0,415,415,19.0966735196401,5.83190231323242,0,2420.23945999145,2420.23945999145,-13.2647712064077,116
"Persistent gap",651.75,651.75,0,4.9404573136927,5.02240209136834,3219.94305419921,3273.35056304932,53.4075088501013,0.0819447776756448,116
"Recovered gap",1225.75,0,-1225.75,4.81143053098765,13.7621749762779,5897.61097335811,0,-5897.61097335811,8.9507444452902,116
"Intact canopy",0,0,0,29.307532272066,32.3781626330502,0,0,0,3.07063036098418,111
"New gap",0,184.25,184.25,19.8662322832415,6.33213470748839,0,1166.69581985474,1166.69581985474,-13.5340975757532,111
"Persistent gap",205.75,205.75,0,5.57637127752293,6.58706435137502,1147.33839035034,1355.28849029541,207.950099945068,1.01069307385209,111
"Recovered gap",383.75,0,-383.75,6.51248036735609,18.2962065059898,2499.1643409729,0,-2499.1643409729,11.7837261386337,111
"Intact canopy",0,0,0,28.1845138121147,29.3105506665031,0,0,0,1.12603685438841,121
"New gap",0,438.5,438.5,21.516596203655,6.44025616009667,0,2824.05232620239,2824.05232620239,-15.0763400435584,121
"Persistent gap",185.5,185.5,0,6.4841559068212,6.08458680926629,1202.81092071533,1128.6908531189,-74.1200675964346,-0.399569097554904,121
"Recovered gap",440.25,0,-440.25,6.16050486264074,14.3693863946156,2712.16226577759,0,-2712.16226577759,8.20888153197483,121
"Intact canopy",0,0,0,27.9329326620696,29.6354079901939,0,0,0,1.70247532812426,109
"New gap",0,676,676,19.2407281130729,5.66414930693496,0,3828.96493148803,3828.96493148803,-13.5765788061379,109
"Persistent gap",851,851,0,5.65737401780735,5.688602308549,4814.42528915406,4841.0005645752,26.5752754211462,0.0312282907416526,109
"Recovered gap",592,0,-592,6.46631244066599,17.9206243012403,3828.05696487427,0,-3828.05696487427,11.4543118605743,109
"Intact canopy",0,0,0,30.5115032006301,32.3701317472814,0,0,0,1.85862854665126,108
"New gap",0,697.75,697.75,19.7877856930794,6.1081510548607,0,4261.96239852905,4261.96239852905,-13.6796346382187,108
"Persistent gap",934,934,0,5.76557883971256,5.61799618723051,5385.05063629153,5247.2084388733,-137.842197418239,-0.147582652482055,108
"Recovered gap",401.75,0,-401.75,6.60836071306383,21.2904513631464,2654.90891647339,0,-2654.90891647339,14.6820906500825,108
"Intact canopy",0,0,0,29.6803145044603,31.3787378586534,0,0,0,1.69842335419303,107
"New gap",0,455.25,455.25,18.9501738865123,6.73126135233796,0,3064.40673065185,3064.40673065185,-12.2189125341743,107
"Persistent gap",446.75,446.75,0,5.86217487251952,6.16495058372425,2618.9266242981,2754.19167327881,135.265048980712,0.302775711204728,107
"Recovered gap",362,0,-362,6.487738867491,19.8186571532191,2348.56147003174,0,-2348.56147003174,13.3309182857281,107
"Intact canopy",0,0,0,27.5700548538633,29.708776215902,0,0,0,2.13872136203869,105
