"overlap","area_a_gaps","area_b_gaps","area_change","CHM1_mean","CHM2_mean","gap_volume_a_gaps","gap_volume_b_gaps","gap_volume_change","height_growth","Plot_id"
"Persistent gap",78,78,0,6.28346604567308,7.46257097293169,490.1103515625,582.080535888672,91.970184326172,1.17910492725862,"P_13"
"Recovered gap",181,0,-181,7.86249268252547,20.8771879923278,1423.11117553711,0,-1423.11117553711,13.0146953098023,"P_13"
"Intact canopy",0,0,0,39.7330850675311,40.7588686682708,0,0,0,1.02578360073964,"P_14"
"New gap",0,553,553,25.5851053579375,6.51109071148671,0,3600.63316345215,3600.63316345215,-19.0740146464508,"P_14"
"Persistent gap",918,918,0,6.40114979131029,6.43538659122775,5876.25550842285,5907.68489074707,31.429382324226,0.0342367999174575,"P_14"
"Recovered gap",397,0,-397,7.03977870220502,21.0350933699524,2794.79214477539,0,-2794.79214477539,13.9953146677474,"P_14"
"Intact canopy",0,0,0,37.8469653337951,38.1683502391307,0,0,0,0.321384905335556,"P_15"
"New gap",0,469,469,21.3472761467322,6.20034698941815,0,2907.96273803711,2907.96273803711,-15.146929157314,"P_15"
"Persistent gap",485,485,0,6.1923972218307,7.01658344072165,3003.31265258789,3403.04296875,399.730316162111,0.82418621889095,"P_15"
"Recovered gap",396,0,-396,6.73732880871705,20.6890218330152,2667.98220825195,0,-2667.98220825195,13.9516930242982,"P_15"
"Intact canopy",0,0,0,39.3907345179849,39.014243231149,0,0,0,-0.376491286835865,"P_16"
"New gap",0,452,452,22.206112346818,5.52133347502852,0,2495.64273071289,2495.64273071289,-16.6847788717895,"P_16"
"Persistent gap",213,213,0,5.92901969515662,5.04192928976856,1262.88119506836,1073.9309387207,-188.950256347657,-0.887090405388061,"P_16"
"Recovered gap",55,0,-55,6.25037286931818,14.7243702281605,343.7705078125,0,-343.7705078125,8.47399735884233,"P_16"
"Intact canopy",0,0,0,32.3839641686641,31.1991437934217,0,0,0,-1.18482037524245,"P_17"
"New gap",0,697,697,26.0595609864682,6.63170020652125,0,4622.29504394531,4622.29504394531,-19.427860779947,"P_17"
"Persistent gap",319,319,0,5.78191909072541,6.63931714479452,1844.43218994141,2117.94216918945,273.509979248047,0.857398054069112,"P_17"
"Recovered gap",404,0,-404,6.1274316617758,17.6551789387618,2475.48239135742,0,-2475.48239135742,11.527747276986,"P_17"
"Intact canopy",0,0,0,42.183275928866,43.2311598929019,0,0,0,1.04788396403593,"P_18"
"New gap",0,224,224,25.3701411655971,6.8684880392892,0,1538.54132080078,1538.54132080078,-18.5016531263079,"P_18"
"Persistent gap",34,34,0,7.40677238913143,8.62148060518153,251.830261230469,293.130340576172,41.3000793457031,1.21470821605009,"P_18"
"Recovered gap",120,0,-120,7.8459233601888,15.6388399759928,941.510803222656,0,-941.510803222656,7.79291661580404,"P_18"
"Intact canopy",0,0,0,44.3300993712496,45.450876003239,0,0,0,1.12077663198941,"P_19"
"New gap",0,384,384,33.5793797969818,6.9657617410024,0,2674.85250854492,2674.85250854492,-26.6136180559794,"P_19"
"Persistent gap",89,89,0,5.78068182441626,6.43584622158093,514.480682373047,572.790313720703,58.3096313476562,0.655164397164676,"P_19"
"Recovered gap",192,0,-192,6.23599418004354,23.3182366689046,1197.31088256836,0,-1197.31088256836,17.0822424888611,"P_19"
"Intact canopy",0,0,0,36.756400426598,37.90789315127,0,0,0,1.15149272467198,"P_20"
"New gap",0,437,437,21.7431867935564,7.36732849540099,0,3219.52255249023,3219.52255249023,-14.3758582981555,"P_20"
"Persistent gap",700,700,0,5.87612084524972,6.58916316441127,4113.28459167481,4612.41421508789,499.129623413083,0.713042319161548,"P_20"
"Recovered gap",254,0,-254,6.81933623786986,20.2660690067321,1732.11140441895,0,-1732.11140441895,13.4467327688623,"P_20"
"Intact canopy",0,0,0,34.8450578054447,36.8365698460726,0,0,0,1.99151204062792,"P_21"
"New gap",0,16,16,14.3662586212158,8.1356315612793,0,130.170104980469,130.170104980469,-6.23062705993652,"P_21"
"Persistent gap",81,81,0,4.75432784469039,6.11173427252122,385.100555419922,495.050476074219,109.949920654297,1.35740642783083,"P_21"
"Recovered gap",128,0,-128,5.78625631332397,18.8976609706879,740.640808105469,0,-740.640808105469,13.1114046573639,"P_21"
"Intact canopy",0,0,0,31.9873567574923,33.3688357293801,0,0,0,1.38147897188778,"P_22"
"New gap",0,161,161,18.6928019079362,7.53205312409016,0,1212.66055297852,1212.66055297852,-11.1607487838461,"P_22"
"Persistent gap",455,455,0,7.2511486011547,6.67769916240986,3299.27261352539,3038.35311889648,-260.919494628905,-0.573449438744846,"P_22"
"Recovered gap",234,0,-234,6.88744191226796,16.4061167138255,1611.6614074707,0,-1611.6614074707,9.51867480155749,"P_22"
"Intact canopy",0,0,0,38.89805600135,40.8045657864116,0,0,0,1.90650978506164,"P_23"
"New gap",0,128,128,17.0882873535156,7.49367785453796,0,959.190765380859,959.190765380859,-9.59460949897766,"P_23"
"Persistent gap",156,156,0,4.90494126539964,7.32974986540966,765.170837402343,1143.44097900391,378.270141601563,2.42480860001002,"P_23"
"Recovered gap",220,0,-220,6.30927942449396,14.2121878884055,1388.04147338867,0,-1388.04147338867,7.90290846391158,"P_23"
"Intact canopy",0,0,0,43.4035924382883,44.0269936898025,0,0,0,0.623401251514132,"P_24"
"New gap",0,350,350,25.109806867327,6.52626386369977,0,2284.19235229492,2284.19235229492,-18.5835430036272,"P_24"
"Persistent gap",182,182,0,5.9771487057864,7.21110534667969,1087.84106445312,1312.4211730957,224.580108642578,1.23395664089329,"P_24"
"Recovered gap",213,0,-213,6.29850446674186,23.8012744026005,1341.58145141602,0,-1341.58145141602,17.5027699358587,"P_24"
"Intact canopy",0,0,0,38.4207396755329,39.3029038301471,0,0,0,0.88216415461423,"P_25"
"New gap",0,231,231,20.2781003481382,5.65909711829512,0,1307.25143432617,1307.25143432617,-14.6190032298431,"P_25"
