"Plot_id","Site","Persistant_gap_area_2013","Recovered_gap_area_2013","New_gap_area_2020","Persistant_gap_area_2020","Intact_canopy_TCH_2013","New_gap_TCH_2013","Persistant_gap_TCH_2013","Recovered_gap_TCH_2013","Intact_canopy_TCH_2020","New_gap_TCH_2020","Persistant_gap_TCH_2020","Recovered_gap_TCH_2020","Persistant_gap_volume_2013","Recovered_gap_volume_2013","New_gap_volume_2020","Persistant_gap_volume_2020","Persistant_gap_volume_change","Intact canopy_height_growth","New gap_height_growth","Persistent gap_height_growth","Recovered gap_height_growth","Existing_gap_area_2013","Existing_gap_area_2020","Existing_gap_volume_2013","Existing_gap_volume_2020","Existing_proportion_closed","Existing_proportion_closed_perc"
"91","SBE",249.5,326.5,521.5,249.5,28.7674831965809,25.2613846220198,5.48859151714073,6.6638557585969,30.1874692582032,6.23885812878265,6.03521425786144,16.3781432521288,1369.40358352661,2175.74890518189,3253.56451416015,1505.78595733643,136.382373809816,1.41998606162224,-19.0225264932371,0.546622740720704,9.71428749353194,576,249.5,3545.1524887085,1505.78595733643,0.575254953875062,57.5254953875062
"110","SBE",832.75,515,453.5,832.75,27.894630004545,18.0938358664381,5.6505537763153,6.62002393852158,30.1990397644906,6.23363197099544,5.71901990328779,18.0626017301985,4705.49865722657,3409.31232833861,2826.95209884643,4762.51382446291,57.0151672363436,2.30440975994559,-11.8602038954427,0.0684661269724938,11.442577791677,1347.75,832.75,8114.81098556518,4762.51382446291,0.413108471295932,41.3108471295932
"120","SBE",192.5,244.5,382.25,192.5,31.042817684553,20.6513653412764,5.8292774150898,6.19484103774244,32.7804514574898,6.32511294098598,6.27175828017197,18.6775503802153,1122.13590240479,1514.63863372803,2417.77442169189,1207.3134689331,85.1775665283192,1.73763377293684,-14.3262524002904,0.442480865082178,12.4827093424729,437,192.5,2636.77453613282,1207.3134689331,0.542124875529257,54.2124875529257
"71","SBE",396.5,341.25,483.25,396.5,31.840855568768,18.6428446525499,6.08921009655407,6.49052497388679,33.554667567323,5.91663679112071,6.05812567269517,19.6527888594966,2414.37180328369,2214.89164733887,2859.21472930908,2402.04682922363,-12.3249740600559,1.71381199855497,-12.7262078614292,-0.0310844238589043,13.1622638856098,737.75,396.5,4629.26345062256,2402.04682922363,0.481116843998024,48.1116843998024
"81","SBE",595.25,506.25,522,595.25,28.4279818578171,17.9458664715062,5.69730819067701,6.43549068498023,30.3314080827178,5.9526095335511,5.76359086435214,18.5888929955753,3391.32270050049,3257.96715927124,3107.26217651367,3430.77746200561,39.4547615051233,1.9034262249007,-11.9932569379551,0.0662826736751336,12.1534023105951,1101.5,595.25,6649.28985977173,3430.77746200561,0.484038516238877,48.4038516238877
"119","SBE",1423,696.25,916,1423,31.3235001076181,19.5927275653489,5.11147612882012,6.24953696012925,33.1595838305324,5.88918803352458,4.94683790977623,20.2371023400682,7273.63053131104,4351.24010848999,5394.49623870851,7039.35034561157,-234.280185699467,1.83608372291425,-13.7035395318243,-0.164638219043898,13.9875653799389,2119.25,1423,11624.870639801,7039.35034561157,0.39445774807073,39.445774807073
"114","SBE",1220.25,684.5,761.5,1220.25,27.0259279394464,18.9154405800512,5.56181682140411,6.81111044148793,28.2287331377567,6.36033530182064,5.61554166719184,16.8106027941707,6786.80697631836,4662.20509719849,4843.39533233642,6852.36471939085,65.557743072487,1.20280519831032,-12.5551052782305,0.0537248457877375,9.99949235268282,1904.75,1220.25,11449.0120735168,6852.36471939085,0.401488558541979,40.148855854198
"124","SBE",1221.75,644.25,858.75,1221.75,30.0294209605158,24.1178648525277,4.89773516170028,5.92719495874716,31.3420453223182,5.32181527527833,5.07401095945117,20.9994418433252,5983.80793380732,3818.59535217286,4570.10886764526,6199.17288970947,215.364955902144,1.31262436180249,-18.7960495772493,0.176275797750885,15.072246884578,1866,1221.75,9802.40328598018,6199.17288970947,0.367586426629091,36.7586426629091
"118","SBE",1256.5,772.75,689.75,1256.5,32.3636402866743,20.917677820917,4.7457568331444,5.6799398155052,35.7972755633665,5.45049778937257,5.08999281920053,23.7274293483017,5963.04346084594,4389.17349243164,3759.48085021973,6395.57597732546,432.532516479524,3.43363527669217,-15.4671800315445,0.344235986056127,18.0474895327965,2029.25,1256.5,10352.2169532776,6395.57597732546,0.382202285153947,38.2202285153947
"113","SBE",843.75,591.75,546,843.75,31.6747250256607,19.5983695844154,5.75489908402055,6.47927328479607,34.4247618317122,6.19814957279862,5.79879805953415,20.5678536753942,4855.69610214234,3834.10996627808,3384.18966674804,4892.73586273194,37.0397605895951,2.75003680605145,-13.4002200116168,0.0438989755135939,14.0885803905982,1435.5,843.75,8689.80606842042,4892.73586273194,0.436956840669597,43.6956840669597
